epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1817,0.9575,3.88246,1.35859,0.89187,0.394,0.54695,0.35205,1.01604,4.58133,1.60252,0.00028339,0.00028339,0.00028339
2,36.4063,1.01,1.78596,1.30743,0.61785,0.43297,0.35403,0.18387,1.5654,4.44015,2.14111,0.000573823,0.000573823,0.000573823
3,43.2818,1.12903,1.5062,1.39145,0.25551,0.06341,0.07723,0.04659,2.48082,5.35902,3.1542,0.000854354,0.000854354,0.000854354
4,50.4732,1.04269,1.34315,1.31333,0.01144,0.32065,0.044,0.02135,2.66926,29.4449,5.56416,0.00112498,0.00112498,0.00112498
5,57.4228,1.20012,1.44696,1.42889,0.06897,0.36775,0.04217,0.01727,2.12419,15.7938,3.11584,0.00138571,0.00138571,0.00138571
6,64.5172,1.20956,1.36228,1.44051,0.03867,0.25543,0.03281,0.01303,2.43198,4.20566,3.70784,0.00152947,0.00152947,0.00152947
7,71.2914,1.13842,1.30691,1.38976,0.2994,0.22577,0.14841,0.08478,2.34837,3.44213,3.23271,0.00150197,0.00150197,0.00150197
8,78.5337,1.07729,1.14194,1.34649,0.14351,0.06341,0.02357,0.01443,3.03762,5.55377,3.62919,0.00147446,0.00147446,0.00147446
9,84.933,1.10721,1.1922,1.37109,0.16025,0.32609,0.15226,0.06618,1.94134,3.6821,2.56036,0.00144696,0.00144696,0.00144696
10,92.7189,1.12847,1.10721,1.36778,0.16935,0.51268,0.2749,0.1196,2.00974,4.03705,2.57124,0.00141945,0.00141945,0.00141945
11,99.9901,1.04952,1.03061,1.30402,0.36782,0.51449,0.36109,0.22637,1.41516,2.07706,1.8319,0.00139195,0.00139195,0.00139195
12,106.769,1.00286,0.96396,1.28833,0.36424,0.2642,0.21234,0.08805,2.01319,2.96459,2.58694,0.00136444,0.00136444,0.00136444
13,113.965,1.02936,0.9855,1.32763,0.47641,0.76812,0.48756,0.24928,1.59647,2.01717,1.99158,0.00133693,0.00133693,0.00133693
14,120.644,1.0213,1.00611,1.30829,0.74514,0.54955,0.71494,0.39281,1.44232,2.11766,1.98382,0.00130943,0.00130943,0.00130943
15,127.545,0.99664,0.92302,1.29878,0.68556,0.55616,0.62967,0.39325,1.13055,2.02406,1.56665,0.00128192,0.00128192,0.00128192
16,134.506,1.01185,0.94803,1.31988,0.48938,0.74819,0.60994,0.40792,1.3163,1.69057,1.79732,0.00125442,0.00125442,0.00125442
17,141.599,0.95436,0.87027,1.26316,0.48023,0.61594,0.46741,0.2739,1.56012,2.08131,2.01131,0.00122691,0.00122691,0.00122691
18,147.96,0.92935,0.85174,1.24361,0.77097,0.65303,0.72699,0.44144,1.38847,1.58344,1.78387,0.00119941,0.00119941,0.00119941
19,155.071,0.92612,0.83624,1.21156,0.75622,0.73339,0.7883,0.49884,1.11702,1.17818,1.55538,0.0011719,0.0011719,0.0011719
20,161.587,0.94478,0.78618,1.25423,0.71908,0.83152,0.81961,0.56116,1.11962,1.09853,1.55971,0.0011444,0.0011444,0.0011444
21,168.968,0.90762,0.80229,1.21771,0.6396,0.80978,0.79311,0.59761,1.01947,0.94775,1.42663,0.00111689,0.00111689,0.00111689
22,175.881,0.85441,0.76764,1.21755,0.71726,0.73791,0.77244,0.49387,1.14432,1.2125,1.52057,0.00108938,0.00108938,0.00108938
23,183.003,0.8751,0.76042,1.19571,0.56205,0.86367,0.715,0.42814,1.29535,1.22963,1.67612,0.00106188,0.00106188,0.00106188
24,189.86,0.88856,0.74751,1.23386,0.6943,0.78986,0.80382,0.57504,1.08554,1.0155,1.49507,0.00103437,0.00103437,0.00103437
25,197.137,0.84922,0.68398,1.19848,0.73133,0.67245,0.7493,0.44439,1.25281,1.16992,1.64758,0.00100687,0.00100687,0.00100687
26,204.22,0.90856,0.75671,1.18472,0.77598,0.68659,0.74566,0.53534,0.97904,1.06036,1.3976,0.000979362,0.000979362,0.000979362
